region_name,municipality,unique_outages,avg_customers_per_unique_outage,median_customers_per_outage,tree_related_outage_count,weather_related_outage_count,suggested_priority_score
Central Interior,Prince George,1962,133.91946992864425,7.0,8575,4762,0.6120974441001156
Lower Mainland,Sechelt,1703,108.73517322372284,8.0,7510,7429,0.6055859900962924
Lower Mainland,Surrey,3651,134.22760887428103,9.0,3141,3485,0.5790006603760285
South VI,Duncan,2263,97.89615554573577,6.0,3998,8324,0.5681876720966683
Lower Mainland,Vancouver,3985,133.83814303638644,20.0,2684,1676,0.5624245485367617
North VI,Qualicum Beach,1346,154.33432392273403,8.0,4513,3450,0.4165355631910669
Lower Mainland,Langley,2237,127.62717925793471,4.0,2649,2114,0.4155305436125354
North VI,Nanaimo,1447,180.61990324809952,10.0,2946,4946,0.4074694203280201
Thompson/Shuswap,Salmon Arm,1632,142.3639705882353,5.0,4517,1412,0.4046760663443134
South VI,Victoria,1209,89.16790736145575,12.0,3344,5270,0.4011819522199147
Lower Mainland,Abbotsford,2263,91.441007512152,4.0,2459,1290,0.3963602895984894
North VI,Campbell River,1412,101.77832861189802,9.0,3780,3187,0.3946210540169299
North VI,Courtenay,1342,100.27496274217586,8.0,2613,4331,0.3750173632808267
Lower Mainland,Chilliwack,1632,102.09436274509804,6.0,3112,1614,0.3661310644414546
South VI,Ganges,869,120.6915995397008,8.0,3441,3257,0.3388726888847039
Okanagan/Kootenay,Nakusp,620,104.5532258064516,13.0,4592,2098,0.3291735505824459
Lower Mainland,Burnaby,1682,137.23662306777646,16.0,1313,1383,0.3149877651036041
Okanagan/Kootenay,Invermere,442,230.52036199095025,7.0,3605,3445,0.3128794143080383
Central Interior,100 Mile House,912,132.58771929824562,5.0,3906,713,0.3107266770561896
Thompson/Shuswap,Kamloops,1454,138.17606602475928,8.0,1887,830,0.3016923455471518
Lower Mainland,North Vancouver,1387,183.82119682768564,18.0,1436,1656,0.2989789981086379
Lower Mainland,Mission,1069,72.48550046772685,5.0,2313,1226,0.2854872364433963
Lower Mainland,Hope,684,101.44444444444444,10.0,2774,2231,0.2840983055192632
Okanagan/Kootenay,Vernon,1104,122.4302536231884,5.0,2492,382,0.2800951404290092
North VI,Ladysmith,609,142.78489326765188,8.0,2887,1858,0.2753434029271313
South VI,Saanich,1128,52.73049645390071,10.0,1654,1332,0.272575299399003
Okanagan/Kootenay,Cranbrook,749,138.27903871829105,9.0,2422,1670,0.270554839756109
Central Interior,Williams Lake,939,80.75399361022365,3.0,2742,217,0.2686436944585381
Lower Mainland,Richmond,1392,143.54597701149424,11.0,1074,573,0.2680456349775051
North VI,Port Alberni,712,126.28230337078652,12.0,2420,1715,0.2676966677188779
Lower Mainland,West Vancouver,837,146.72281959378734,13.0,1397,2628,0.2649850937501657
Lower Mainland,Maple Ridge,1052,89.44011406844106,8.0,1575,1326,0.2647828910076555
Lower Mainland,Powell River,851,141.8789659224442,8.0,2049,1274,0.2615632182494143
South VI,Sooke,409,301.6210268948655,12.0,1743,3215,0.2537187668712126
South VI,"Ganges, Mayne Island, Pender Island, Saturna Island",1,4920.0,4920.0,7,0,0.250204081632653
Northern,Smithers,622,107.95980707395498,5.0,2851,428,0.2485088504947808
Lower Mainland,Delta,1174,79.91056218057922,9.0,865,726,0.2437122882098074
Northern,Fort St. John,1011,77.9297725024728,3.0,1490,251,0.2389940760694687
North VI,Port Hardy,538,168.02230483271376,11.5,1732,1804,0.2351404399208277
Lower Mainland,Bowen Island,279,86.3225806451613,10.0,1916,2667,0.230899441781799
