aoi_id,scene_id,tile,sensing_date,ndvi_mean,ndmi_mean,cloud_filtered_pct,status,notes
SURREY-TX-BUF-200M,S2A_MSIL2A_20260511T191831_N0512_R056_T10UDV_20260512T033111,T10UDV,2026-05-11,0.2599,0.0497,14.04,processed,
SURREY-TX-BUF-200M,S2A_MSIL2A_20260511T191831_N0512_R056_T10UEV_20260512T033111,T10UEV,2026-05-11,0.3184,0.0815,10.47,processed,
SURREY-TX-BUF-200M,S2B_MSIL2A_20260124T191559_N0511_R056_T10UDV_20260124T211343,T10UDV,2026-01-24,0.2024,0.0287,16.11,processed,
SURREY-TX-BUF-200M,S2B_MSIL2A_20260124T191559_N0511_R056_T10UEV_20260124T211343,T10UEV,2026-01-24,0.2304,0.061,9.1,processed,
SURREY-TX-BUF-200M,S2B_MSIL2A_20260305T191159_N0512_R056_T10UDV_20260305T223838,T10UDV,2026-03-05,0.1997,0.0079,16.11,processed,
SURREY-TX-BUF-200M,S2B_MSIL2A_20260424T190909_N0512_R056_T10UDV_20260424T224353,T10UDV,2026-04-24,0.2039,0.016,9.95,processed,
SURREY-TX-BUF-200M,S2B_MSIL2A_20260424T190909_N0512_R056_T10UEV_20260424T224353,T10UEV,2026-04-24,0.2845,0.0591,6.72,processed,
SURREY-TX-BUF-200M,S2B_MSIL2A_20260504T190909_N0512_R056_T10UDV_20260504T224440,T10UDV,2026-05-04,0.2594,0.0403,10.7,processed,
SURREY-TX-BUF-200M,S2C_MSIL2A_20260119T191721_N0511_R056_T10UEV_20260119T203312,T10UEV,2026-01-19,0.1891,0.0471,5.36,processed,
SURREY-TX-BUF-200M,S2C_MSIL2A_20260208T191541_N0512_R056_T10UDV_20260208T220216,T10UDV,2026-02-08,0.208,0.0289,16.11,processed,
SURREY-TX-BUF-200M,S2C_MSIL2A_20260208T191541_N0512_R056_T10UEV_20260208T220216,T10UEV,2026-02-08,0.2435,0.0536,12.06,processed,
SURREY-TX-BUF-200M,S2C_MSIL2A_20260409T190911_N0512_R056_T10UDV_20260410T004409,T10UDV,2026-04-09,0.2235,0.0034,16.11,processed,
SURREY-TX-BUF-200M,S2C_MSIL2A_20260409T190911_N0512_R056_T10UEV_20260410T004409,T10UEV,2026-04-09,0.2667,0.0192,12.07,processed,
SURREY-TX-BUF-200M,S2C_MSIL2A_20260429T190911_N0512_R056_T10UDV_20260430T002711,T10UDV,2026-04-29,0.2325,0.0357,14.88,processed,
SURREY-TX-BUF-200M,S2C_MSIL2A_20260429T190911_N0512_R056_T10UEV_20260430T002711,T10UEV,2026-04-29,0.3066,0.0638,10.9,processed,
